idbeersales,category,subcategory,period,netsales,qtr,fyr,end_dt,end_qtr_dt,cyr
152,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2021 Q1,136222660,Q1,2021,06-30,2020-06-30T00:00:00Z,2020
153,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2021 Q2,136117705,Q2,2021,09-30,2020-09-30T00:00:00Z,2020
154,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2021 Q3,104815457,Q3,2021,12-31,2020-12-31T00:00:00Z,2020
155,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2021 Q4,99969933,Q4,2021,03-01,2021-03-01T00:00:00Z,2021
156,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2022 Q1,129431570,Q1,2022,06-30,2021-06-30T00:00:00Z,2021
157,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2021 Q1,33147382,Q1,2021,06-30,2020-06-30T00:00:00Z,2020
158,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2021 Q2,38492046,Q2,2021,09-30,2020-09-30T00:00:00Z,2020
159,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2021 Q3,30968540,Q3,2021,12-31,2020-12-31T00:00:00Z,2020
160,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2021 Q4,29809626,Q4,2021,03-01,2021-03-01T00:00:00Z,2021
161,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2022 Q1,40189842,Q1,2022,06-30,2021-06-30T00:00:00Z,2021
162,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2021 Q1,49341729,Q1,2021,06-30,2020-06-30T00:00:00Z,2020
163,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2021 Q2,52904002,Q2,2021,09-30,2020-09-30T00:00:00Z,2020
164,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2021 Q3,44005674,Q3,2021,12-31,2020-12-31T00:00:00Z,2020
165,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2021 Q4,38014952,Q4,2021,03-01,2021-03-01T00:00:00Z,2021
166,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2022 Q1,51664127,Q1,2022,06-30,2021-06-30T00:00:00Z,2021
167,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2021 Q1,27067651,Q1,2021,06-30,2020-06-30T00:00:00Z,2020
168,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2021 Q2,26556592,Q2,2021,09-30,2020-09-30T00:00:00Z,2020
169,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2021 Q3,25558598,Q3,2021,12-31,2020-12-31T00:00:00Z,2020
170,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2021 Q4,28205203,Q4,2021,03-01,2021-03-01T00:00:00Z,2021
171,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2022 Q1,47004155,Q1,2022,06-30,2021-06-30T00:00:00Z,2021
172,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2021 Q1,93129,Q1,2021,06-30,2020-06-30T00:00:00Z,2020
173,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2021 Q2,150470,Q2,2021,09-30,2020-09-30T00:00:00Z,2020
174,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2021 Q3,129763,Q3,2021,12-31,2020-12-31T00:00:00Z,2020
175,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2021 Q4,150630,Q4,2021,03-01,2021-03-01T00:00:00Z,2021
176,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2022 Q1,192047,Q1,2022,06-30,2021-06-30T00:00:00Z,2021
177,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2021 Q1,888718,Q1,2021,06-30,2020-06-30T00:00:00Z,2020
